School Number,School Name,LA Code,Local Authority,Sector,Governance - see notes,WM Code,Welsh Medium Type - see notes,School Type,Religious Character,Address 1,Address 2,Address 3,Address 4,Postcode,Phone Number,Pupils - see notes
6644022,"Connah's Quay High School,",664,Flintshire,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Golftyn Lane,Connah's Quay,Flintshire,,CH5 4BH,01244 813491,1010
6644042,Argoed High School,664,Flintshire,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Bryn Road,Bryn Y Baal,Nr Mold,Flintshire,CH7 6RY,01352 756414,541
6644600,St. Richard Gwyn Catholic High School,664,Flintshire,Secondary,Voluntary aided,EM,English medium,Secondary (ages 11-19),Roman Catholic,Albert Avenue,Flint,,,CH6 5JZ,01352 736900,773
6645200,Derwen Foundation School,664,Flintshire,Primary,Foundation,EM,English medium,"Nursery, Infants & Juniors",---,Higher Kinnerton,Flintshire,,,CH4 9AJ,01244 660291,213
6647020,Pen Coch,664,Flintshire,Special,Not Applicable,NA,Not applicable,Special (without post-16 provision),---,Prince of Wales Avenue,Flint,Flintshire,,CH6 5DL,01352 792730,100
6647021,Ysgol Maes Hyfryd,664,Flintshire,Special,Not Applicable,NA,Not applicable,Special (with post-16 provision),---,Fifth Avenue,Flint,Flintshire,,CH6 5QL,01352 792720,112
6651007,Ysgol Cae’r Gwenyn,665,Wrexham,Nursery,Not Applicable,NA,Not applicable,Nursery,---,Prince Charles Road,Wrexham,,,LL13 8TH,01978 356177,36
6652076,The Rofft Cp School,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Wynnstay Lane,Marford,Wrexham,,LL12 8LA,01978 853116,238
6652137,Froncysyllte,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Woodlands Road,Froncysyllte,Llangollen,Wrexham,LL20 7SU,01691 773310,39
6652138,Garth Cp,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Trevor,Llangollen,Wrexham,,LL20 7UY,01978 820582,68
6652139,Ysgol Cynddelw,665,Wrexham,Primary,Community,DS,Dual Stream,"Nursery, Infants & Juniors",---,New Road,Glynceiriog,Llangollen,,LL20 7HH,01691 718426,105
6652140,Llanarmon Dc School,665,Wrexham,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanarmon Dyffryn,Ceiriog,Nr Llangollen,,LL20 7LF,01691 600278,19
6652149,Ysgol Acrefair,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Tower View,Acrefair,Wrexham,,LL14 3SH,01978 820616,230
6652151,Cefn Mawr C P School,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Plas Kynaston Lane,Cefn Mawr,Wrexham,,LL14 3PY,01978 820719,187
6652160,Ysgol Maes-Y-Llan,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Maes y Llan Lane,Ruabon,Wrexham,,LL14 6AE,01978 820991,184
6652162,Ysgol Min y Ddol,665,Wrexham,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Lon Plas Kynmaston,Cefn Mawr,Wrexham,,LL14 3PY,01978 820903,107
6652173,Alexandra C P School,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Park Avenue,Bodhyfryd,Wrexham,,LL12 7AZ,01978 315120,392
6652176,Brynteg C P School,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Maesteg,Brynteg,Wrexham,,LL11 6NB,01978 756398,203
6652178,Bwlchgwyn School,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Brymbo Road,Bwlchgwyn,Wrexham,,LL11 5UA,01978 757743,105
6652179,Ysgol Tan-y-Fron,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Tanyfron Road,Tanyfron,Wrexham,,LL11 5SA,01978 758118,150
6652187,Black Lane C P School,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Long Lane,Pentre Broughton,Wrexham,,LL11 6BT,01978 757959,153
6652191,Rhosddu County Primary,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Price's Lane,Rhosddu,Wrexham,,LL11 2NB,01978 318830,283
6652200,Rhostyllen Cp School,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,School Street,Rhostyllen,Wrexham,,LL14 4AN,01978 352357,218
6652204,Ysgol Deiniol C P,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,The Ridgeway,Marchwiel,Wrexham,,LL13 0SB,01978 353760,189
6652208,Barker's Lane Cp,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Barker's Lane,Wrexham,,,LL13 9UN,01978 357754,227
6652209,Wat's Dyke County Primary,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Garden Village,Wrexham,,,LL11 2TE,01978 355731,333
6652224,Ysgol Bryn Tabor,665,Wrexham,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Heol Maelor,Coedpoeth,Wrecsam,,LL11 3NB,01978 722180,272
6652232,Ysgol Sant Dunawd,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Sandown Road,Bangor-On-Dee,Wrexham,,LL13 0JA,01978 780757,110
6652235,Holt C.P. School,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Chapel Street,Holt,Wrexham,,LL13 9DJ,01829 270021,89
6652238,Ysgol Bodhyfryd,665,Wrexham,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Range Road,Wrexham,,,LL13 7DA,01978 351168,379
6652259,Ysgol I.D. Hooson,665,Wrexham,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Heol Caradoc,Pentredwr,Rhos,Wrexham,LL14 2DX,01978 832950,296
6652263,Ysgol Plas Coch,665,Wrexham,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Ffordd Stansty,Plas Coch,Wrexham,,LL11 2BU,01978 311198,310
6652266,Penygelli C P School,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Heol Glyndwr,Coedpoeth,Wrexham,,LL11 3HA,01978 722160,317
6652267,Ysgol Penrhyn New Broughton Cp,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,School Lane,New Broughton,Wrexham,,LL11 6SF,01978 756926,196
6652268,Ysgol Heulfan,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Sunny View,Gwersylit,Wrexham,,LL11 4HS,01978 722040,364
6652269,Hafod Y Wern Community Primary School,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Deva Way,Caia Park,Wrexham,,LL13 9HD,01978 367080,311
6652270,Gwenfro Community Primary,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Queensway,Wrexham,,,LL13 8UW,01978 340380,362
6652271,Park Community Primary School Llay,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,School Road,Llay,Wrexham,,LL12 0TR,01978 859100,338
6652272,Rhosymedre Community Primary,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Parc Road,Rhosymedre,Wrexham,,LL14 3EG,01978 812510,243
6652273,Ysgol Maes y Mynydd,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Pentredwr,Rhosllanerchrugog,Wrexham,,LL14 1DD,01978 832970,344
6652274,Gwersyllt Community Primary School,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Dodds Lane,Gwersyllt,Wrexham,,LL11 4NT,01978 269520,258
6652275,Penycae Community Primary School,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Afoneitha Road,Penycae,Wrexham,,LL14 2PF,01978 840509,228
6652276,Acton Primary,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Box Lane,Wrexham,,,LL12 8BT,01978 318950,418
6652277,Victoria Community Primary,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Poyster Street,Wrexham,,,LL13 7RP,01978 360060,468
6652278,Ysgol y Waun,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Lloyds Lane,Chirk,Wrexham,,LL14 5NH,01691 770530,358
6652279,Ysgol Bro Alun,665,Wrexham,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Delamere Avenue,Gwersyllt,Wrexham,,LL11 4NG,01978 269580,265
6652280,Ysgol Yr Hafod,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---, BANGOR ROAD,JOHNSTOWN,Wrexham,,LL14 2SW,01978 840643,350
6652281,Borras Park Community Primary School,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---, BORRAS PARK ROAD,Borras Park,Wrexham,,LL12 7TH,01978 346890,469
6653028,St Peter's School,665,Wrexham,Primary,Voluntary controlled,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Chapel Lane,Rossett,Wrexham,,LL12 0EE,01244 570594,220
6653036,Pentre Ciw Voluntary Controlled,665,Wrexham,Primary,Voluntary controlled,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Pentre,Chirk,Wrexham,,LL14 5AW,01691 773322,65
6653042,Eyton Primary School,665,Wrexham,Primary,Voluntary controlled,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Bangor Road,Eyton,Wrexham,,LL13 0YD,01978 823392,62
6653054,Borderbrook School,665,Wrexham,Primary,Voluntary controlled,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Talwrn Green,Malpas,Willington,Wrexham,SY14 7LJ,01948 770676,20
6653055,St Giles Controlled Primary School,665,Wrexham,Primary,Voluntary controlled,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Madeira Hill ,Wrexham,,,LL13 7DG,01978 318880,399
6653301,Bronington Church In Wales V.A,665,Wrexham,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,School Lane,Bronington,Whitchurch,Wrexham,SY13 3HN,01948 780283,53
6653305,Madras Va School,665,Wrexham,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Penley,Wrexham,,,LL13 0LU,01978 710419,135
6653326,St Chad's Church In Wales Aided School,665,Wrexham,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Hanmer,Whitchurch,Wrexham,,SY13 3DG,01948 830238,79
6653334,St Mary's Rc Primary,665,Wrexham,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Roman Catholic,Lea Road,Wrexham,,,LL13 7NA,01978 352406,373
6653337,Minera,665,Wrexham,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Minera Hall Road,Minera,Wrexham,,LL11 3YE,01978 269500,103
6653338,All Saints Voluntary Aided Sch,665,Wrexham,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,School Hill,Gresford,Wrexham,,LL12 8RW,01978 852342,282
6653341,St Mary's Church In Wales,665,Wrexham,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Park Street,Ruabon,Wrexham,,LL14 6LE,01978 820979,238
6653342,Brymbo Aided (St. Mary's),665,Wrexham,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Ael y Bryn,Brymbo,Wrexham,,LL11 5DA,01978 722970,133
6653343,St Anne's Catholic Primary,665,Wrexham,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Roman Catholic,Prince Charles Road,Wrexham,,,LL13 8TH,01978 261623,179
6653346,St Mary's Overton,665,Wrexham,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,School Lane,Overton On Dee,Wrexham,,LL13 0ES,01978 710370,173
6653347,St Paul's Voluntary Aided,665,Wrexham,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Bowling Bank,Isycoed,Wrexham,,LL13 9RL,01978 661556,46
6654029,Grango,665,Wrexham,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Vinegar Hill,Rhos,Wrexham,,LL14 1EL,01978 833010,535
6654032,Ysgol Morgan Llwyd,665,Wrexham,Secondary,Community,WM,Welsh medium,Secondary (ages 11-19),---,Ffordd Cefn,Wrecsam,,,LL13 9NG,01978 315050,779
6654033,Ysgol Bryn Alyn,665,Wrexham,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Church Street,Gwersyllt,Wrexham,,LL11 4HB,01978 720700,697
6654034,Darland High School,665,Wrexham,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Chester Road,Rossett,Wrexham,,LL12 0DL,01244 570588,832
6654044,Ysgol Rhiwabon,665,Wrexham,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Ruabon,Wrexham,,,LL14 6BT,01978 822392,439
6654048,Rhosnesni High School,665,Wrexham,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Rhosnesni Lane,Wrexham,,,LL13 9ET,01978 340840,808
6654049,Ysgol Clywedog,665,Wrexham,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Ruthin Road,Wrexham,,,LL13 7UB,01978 346800,783
6654603,St Joseph's Catholic And Anglican High,665,Wrexham,Secondary,Voluntary aided,EM,English medium,Secondary (ages 11-16),Roman Catholic & Anglican,Sontley Road,Wrexham,,,LL13 7EN,01978 360310,724
6655401,The Maelor School,665,Wrexham,Secondary,Foundation,EM,English medium,Secondary (ages 11-19),---,Penley,Wrexham,,,LL13 0LU,01948 830291,806
6657005,St Christophers School,665,Wrexham,Special,Not Applicable,NA,Not applicable,Special (with post-16 provision),---,Stockwell Grove,Wrexham,,,LL13 7BW,01978 346910,291
6662002,Abermule Primary School,666,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Abermule,Montgomery,Powys,,SY15 6ND,01686 630240,50
6662003,Arddleen C.P. School,666,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Arddleen,Llanymynech,Powys,,SY22 6RT,01938 590445,93
6662005,Berriew C.P. School,666,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Berriew,Welshpool,Powys,,SY21 8BA,01686 640312,88
6662008,Caersws C.P. School,666,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Maesawelon,Caersws,Powys,,SY17 5HG,01686 688458,68
6662009,Ysgol Gynradd Carno,666,Powys,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Carno,Y Drenewydd,Powys,,SY17 5LH,01686 420209,43
6662010,Carreghofa C.P. School,666,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Llanymynech,Powys,,,SY22 6PA,01691 830396,86
6662018,Leighton C.P. School,666,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Leighton,Welshpool,Powys,,SY21 8HH,01938 553261,71
6662019,Ysgol Llanbrynmair,666,Powys,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanbrynmair,Powys,,,SY19 7DJ,01650 521339,61
6662020,Llandinam C.P. School,666,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Llandinam,Powys,,,SY17 5BY,01686 688457,46
6662021,Ysgol Gynradd Llanfair Caereinion,666,Powys,Primary,Community,DS,Dual Stream,Infants & Juniors,---,Llanfair Caereinion,Welshpool,Powys,,SY21 0SF,01938 810470,166
6662033,Meifod C.P. School,666,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Meifod,Powys,,,SY22 6DF,01938 500300,82
6662040,Penygloddfa C.P. School,666,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,School Lane,,,Newtown,SY16 2DF,01686 626715,291
6662041,Ysgol Pontrobert,666,Powys,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Meifod,Powys,,,SY22 6JN,01938 500394,37
6662044,Ysgol Dyffryn Trannon,666,Powys,Primary,Community,DS,Dual Stream,"Nursery, Infants & Juniors",---,Trefeglwys,Newtown,Powys,,SY17 5PH,01686 430644,129
6662048,Ladywell Green Infants School,666,Powys,Primary,Community,EM,English medium,Nursery & Infants,---,Newtown,Powys,,,SY16 1EG,01686 626303,93
6662049,Guilsfield C.P. School,666,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Guilsfield,Nr Welshpool,Powys,,SY21 9ND,01938 553979,147
6662050,Llanidloes C.P. School,666,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Llangurig Road,Llanidloes,Powys,,SY18 6EX,01686 412603,288
6662051,Buttington Trewern C.P. School,666,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Buttington,Welshpool,Powys,,SY21 8TB,01938 570283,152
6662053,Brynhafren C.P. School,666,Powys,Primary,Community,EM,English medium,Infants & Juniors,---,Bryn Hafren,,,Shrewsbury,SY5 9BJ,01743 884455,44
6662054,Churchstoke C.P. School,666,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Churchstoke,Montgomery,Powys,,SY15 6AA,01588 620330,25
6662056,Hafren C.P. School,666,Powys,Primary,Community,EM,English medium,Juniors,---,Park Lane,Newtown,Powys,,SY16 1EG,01686 626143,146
6662058,Ysgol Gynradd Glantwymyn,666,Powys,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Cemmaes Road,Machynlleth,Powys,,SY20 8LX,01650 511394,70
6662059,Ysgol Pennant,666,Powys,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Penybont Fawr,Oswestry,Salop,,SY10 0PD,01691 860326,70
6662060,Maesyrhandir C.P. School,666,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Newtown,Powys,,,SY16 1LH,01686 626337,143
6662062,Treowen C.P. School,666,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Newtown,Powys,,,SY16 1NH,01686 627569,131
6662066,Franksbridge C.P. School,666,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Franksbridge,Llandrindod Wells,Powys,,LD1 5SA,01982 570275,38
6662068,Llanbister C.P. School,666,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Llanbister,Llandrindod Wells,Powys,,LD1 6TN,01597 840258,61
6662070,Ysgol Cefnllys,666,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Cefnllys Lane,Llandrindod Wells,Powys,,LD1 5WA,01597 822297,232
6662071,Llanfihangel Rhydithon C.P. School,666,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Dolau,Llandrindod Wells,Powys,,LD1 5TW,01597 851289,33
6662075,Presteigne C.P. School,666,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Slough Road,Presteigne,Powys,,LD8 2NH,01544 267422,151
6662076,Radnor Valley C.P. School,666,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,New Radnor,Presteigne,Powys,,LD8 2SS,01544 350203,47
6662077,Crossgates C.P. School,666,Powys,Primary,Community,EW,English with significant Welsh,"Nursery, Infants & Juniors",---,Crossgates,Llandrindod Wells,Powys,,LD1 6RE,01597 851667,143
6662079,Mount Street C.P. Junior,666,Powys,Primary,Community,EM,English medium,Juniors,---,Brecon,Powys,,,LD3 7LU,01874 622262,152
6662080,Mount Street C.P. Infants,666,Powys,Primary,Community,EM,English medium,Nursery & Infants,---,Rhosferig Road,Brecon,Powys,,LD3 7NG,01874 623038,150
6662084,Ysgol Dolafon,666,Powys,Primary,Community,EW,English with significant Welsh,"Nursery, Infants & Juniors",---,Llanwrtyd Wells,Powys,,,LD5 4RA,01591 610326,53
6662089,Builth Wells C.P. School,666,Powys,Primary,Community,DS,Dual Stream,"Nursery, Infants & Juniors",---,Hospital Road,Builth Wells,Powys,,LD2 3GA,01982 553600,206
6662092,Sennybridge C.P. School,666,Powys,Primary,Community,DS,Dual Stream,"Nursery, Infants & Juniors",---,Sennybridge,,,Brecon,LD3 8RS,01874 636268,126
6662113,Crickhowell C.P. School,666,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Crickhowell,Powys,,,NP8 1DY,01873 810300,192
6662115,Cradoc C.P. School,666,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Cradoc,Brecon,Powys,,LD3 9LR,01874 622555,112
6662116,Hay-on-Wye C.P. School,666,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Oxford Road,Hay-On-Wye,Powys,,HR3 5BT,01497 820339,169
6662117,Llangynidr C.P. School,666,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Llangynidr,Crickhowell,Powys,,NP8 1NY,01874 730681,116
6662122,Irfon Valley C.P. School,666,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Garth,Llangammarch Wells,Powys,,LD4 4AT,01591 620281,44
6662125,Llanfaes C.P. School,666,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Beilihelig Road,Llanfaes,Brecon,Powys,LD3 8EB,01874 623326,235
6662127,Ysgol y Bannau,666,Powys,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Penlan,Aberhonddu,Powys,,LD3 9SR,01874 622207,117
6662129,Ysgol Rhiw Bechan,666,Powys,Primary,Community,DS,Dual Stream,"Nursery, Infants & Juniors",---,Tregynon,Powys,,,SY16 3EH,01686 650303,167
6662146,Llanrhaeadr Ym Mochnant C.P. School,666,Powys,Primary,Community,DS,Dual Stream,"Nursery, Infants & Juniors",---,Llanrhaeadr Ym Mochnant,Oswestry,Salop,,SY10 0LG,01691 780352,75
6662147,Ysgol Bro Cynllaith,666,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Llansilin,Oswestry,Salop,,SY10 7QB,01691 791365,26
6662148,Ysgol Dafydd Llwyd,666,Powys,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Plantation Lane,Newtown,Powys,,SY16 1JE,01686 622162,154
6662149,Ysgol y Cribarth,666,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,School Road,Abercrave,Swansea,,SA9 1XD,01639 731500,127
6662150,Ysgol Golwg y Cwm,666,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Hendreladus,Ystradgynlais,Powys,,SA9 1SE,01639 846070,218
6662151,Ysgol Bro Tawe,666,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Ffordd yr Afon,Ystradgynlais,Swansea,,SA9 1BU,01639 846000,187
6662152,Ysgol Gymraeg Dyffryn y Glowyr,666,Powys,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Bethel Road,Lower Cwmtwrch,Swansea,,SA9 2PT,01639 846060,402
6662153,Ysgol y Mynydd Du,666,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,School Road,Talgarth,Powys,,LD3 0DQ,01874 712860,104
6662154,Ysgol Gymraeg y Trallwng,666,Powys,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Red Bank,,,Welshpool,SY21 7PW,01938 552005,78
6663000,Llanfechain C.I.W. School,666,Powys,Primary,Voluntary controlled,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Llanfechain,Powys,,,SY22 6UQ,01691 828537,44
6663002,Montgomery C.I.W. School,666,Powys,Primary,Voluntary controlled,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Montgomery,Powys,,,SY15 6QA,01686 668387,97
6663016,Forden C.I.W. School,666,Powys,Primary,Voluntary controlled,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Forden,Welshpool,Powys,,SY21 8NE,01938 580334,70
6663021,Llandysilio C.I.W. School,666,Powys,Primary,Voluntary controlled,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Four Crosses,Llanymynech,Powys,,SY22 6RB,01691 830339,72
6663022,Castle Caereinion Church In Wales School,666,Powys,Primary,Voluntary controlled,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Castle Caereinion,Welshpool,Powys,,SY21 9AL,01938 850275,24
6663026,Gladestry C.I.W. School,666,Powys,Primary,Voluntary controlled,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Gladestry,Kington,Herefordshire,,HR5 3NR,01544 370207,42
6663030,Ysgol Trefonnen Church in Wales Community Primary,666,Powys,Primary,Voluntary controlled,DS,Dual Stream,"Nursery, Infants & Juniors",Church in Wales,Trefonnen Lane,Llandrindod Wells,Powys,,LD1 5EB,01597 822190,209
6663031,Newbridge-On-Wye Church In Wales School,666,Powys,Primary,Voluntary controlled,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Newbridge on Wye,Llandrindod Wells,Powys,,LD1 6LD,01597 860273,126
6663033,Clyro C.I.W. School,666,Powys,Primary,Voluntary controlled,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Clyro,Via Hereford,,,HR3 5LE,01497 820860,86
6663035,Knighton C.I.W. School,666,Powys,Primary,Voluntary controlled,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Knighton,Powys,,,LD7 1HP,01547 528691,207
6663036,Rhayader C.I.W. School,666,Powys,Primary,Voluntary controlled,DS,Dual Stream,"Nursery, Infants & Juniors",Church in Wales,Bryntirion,Rhayader,Powys,,LD6 5LT,01597 810288,199
6663037,Llanelwedd Church In Wales Primary School,666,Powys,Primary,Voluntary controlled,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Llanelwedd,Builth Wells,Powys,,LD2 3TY,01982 552616,108
6663046,Llangedwyn C In W Primary School,666,Powys,Primary,Voluntary controlled,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Llangedwyn,,Oswestry,Salop,SY10 9LD,01691 780264,18
6663050,Llangors C.I.W. School,666,Powys,Primary,Voluntary controlled,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Llangorse,Brecon,Powys,,LD3 7TR,01874 658663,161
6663051,Welshpool Church in Wales Primary School,666,Powys,Primary,Voluntary controlled,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Severn Road,Welshpool,Powys,,SY21 7AT,01938 552971,286
6663301,St. Michael's C.I.W. School,666,Powys,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Kerry,Newtown,Powys,,SY16 4NP,01686 670208,105
6663303,Llansantffraid C In W School,666,Powys,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Treflan,Llansantffraid,Powys,,SY22 6AE,01691 828539,120
6663316,Llanbedr C.I.W. (Aided),666,Powys,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Llanbedr,Crickhowell,Powys,,NP8 1SR,01873 810619,46
6663317,Archdeacon Griffiths C.I.W. Primary School,666,Powys,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Llyswen,Brecon,Powys,,LD3 0YB,01874 754334,148
6663318,Priory Church In Wales School,666,Powys,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Pendre Close,Brecon,Powys,,LD3 9EU,01874 623549,151
6663320,St Mary`s R.C. (A) School,666,Powys,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Roman Catholic,Milford Road,Newtown,Powys,,SY16 2EH,01686 625582,73
6663322,Llangattock C.I.W. School,666,Powys,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Llangattock,Crickhowell,Powys,,NP8 1PH,01873 810608,108
